Row Labels,0,1,2,4,8,16,32,64
T-Typ,206.4757035,206.4757035,206.4757035,206.4757035,206.4757035,206.4757035,206.4757035,206.4757035
T-IC,206.4757035,222.1539371,228.203768,244.4945344,275.7635818,329.7184781,442.3007186,654.5315609
J-Typ,114.8537187,209.7169938,225.7828983,248.7932611,288.3450373,372.9045435,563.0295229,957.7190458
J-IC,957.7190458,964.3938647,972.3678595,987.9540405,1029.896933,1068.623935,1207.715006,1412.057557


J-Typ,32.81353936,32.79770904,35.14688464,35.87544826,38.02795894,43.66196525,63.08723794,132.1511657
T-IC,132.1511657,133.5514541,132.4341728,133.7231056,135.8255882,141.6309419,162.4704342,229.4944535
