Row Labels,1,2,4,8,16,32,64
nest-one,84.426752,100.524032,132.620288,199.8848,327.786496,585.3184,1170.612224
nest-all,1365.696512,1365.696512,1365.696512,1365.696512,1365.696512,1365.696512,1170.612224


nest-one,48,58,78,118,198,358,678
nest-all,615,616,618,622,630,646,678
