Row Labels,2,4,8,16,32,64
T-Arr,84.508672,93.14304,109.289472,141.312,215.662592,341.450752
T-Att,68.313088,76.603392,93.134848,126.083072,190.578688,327.778304
J-Arr,101.195776,126.091264,174.374912,282.58304,482.033664,910.483456
J-Att,101.195776,141.312,221.495296,390.22592,682.868736,1365.696512


J-Arr,63,77,105,167,295,551
J-Att,57,75,111,183,327,615
